RespondentID,Consent,Age,Gender,Education,Single,Dating1,Dating2,Married,Divorced,Widowed,Cohabiting,Engaged,Household,Ethnicity,EthnicityOther,Language,LanguageOther,EnglishFluency,Income,IncomeOther,Height,HeightMetres,Weight,WeightKilos,BMI,BIAAQ1,BIAAQ2,BIAAQ3,BIAAQ4,BIAAQ5,BIAAQ6,BIAAQ7,BIAAQ8,BIAAQ9,BIAAQ10,BIAAQ11,BIAAQ12
4187306630,1,28,1,3,1,,,,,,,,3,0,I'm mixed,1,,7,3,,5.7,1.7,155,70.31,24.28,4,4,4,2,3,5,1,4,1,1,1,2
4187307537,1,45,1,3,,,,1,,,,,4,2,,1,,7,6,,5 5,1.65,210,95.25,34.95,2,2,3,5,6,5,6,3,4,1,2,1
4187308013,1,25,1,1,1,,,,,,,,1,2,,1,,7,2,,5,1.52,160,72.57,31.25,5,7,4,6,4,7,7,3,3,3,2,7
4187308612,1,31,1,4,,,,1,,,,,3,2,,1,,7,6,,5'1,1.55,120,54.43,22.67,6,6,2,4,6,5,4,4,2,3,4,3
4187308801,1,29,1,3,,1,,,,,,,4,4,,1,,7,3,,"5"""" 8",1.73,150,68.04,22.81,2,2,2,4,2,5,4,4,4,4,3,3
4187309092,1,21,1,3,,1,,,,,,,3,4,,1,,7,10,,5 feet 5 inches,1.65,150,68.04,24.96,6,7,6,7,6,4,5,6,7,7,7,7
4187309633,1,29,1,3,,,,1,,,,,4,3,,1,,7,8,,5 feet 3 inches,1.6,196,88.9,34.72,4,5,3,5,5,2,5,6,6,6,5,6
4187310006,1,25,1,4,1,,,,,,,,1,0,african/na,1,,7,4,,5'6,1.68,230,104.33,37.12,2,4,3,3,3,4,3,4,3,2,2,2
4187310295,1,29,1,5,,,,1,,,,,3,4,,1,,7,5,,5 feet 9 inches,1.75,180,81.65,26.58,3,4,4,3,3,3,3,3,4,3,2,3
4198417289,1,56,1,2,,,,,,1,,,1,4,,1,,7,5,,5 ft 6 in,1.68,155,70.31,25.02,3,4,4,5,3,4,6,4,4,4,3,6
4198417326,1,22,1,4,1,,,,,,,,2,4,,1,,7,3,,5'9,1.75,130,58.97,19.2,3,3,3,2,2,4,3,4,2,3,4,3
4198422060,1,51,1,6,,,,1,,,,,4,2,,1,,7,8,,5'7,1.7,120,54.43,18.79,3,4,3,4,4,4,3,5,3,2,1,2
4198422409,1,18,1,3,1,,,,,,,,4,0,White,1,,7,3,,5 ft. 4 in.,1.63,126,57.15,21.63,2,1,1,1,1,1,1,1,1,1,1,1
4198423480,1,50,1,3,,,,,,,1,,2,3,,1,,7,2,,5 6,1.68,178,80.74,28.73,3,4,2,1,1,3,1,2,5,4,3,5
4198425678,1,46,1,6,,,,,1,,,,1,4,,1,,7,4,,5'7,1.7,208,94.35,32.58,4,4,4,4,4,4,4,4,4,4,4,5
4198425880,1,22,1,2,,,,1,,,,,4,4,,1,,7,3,,5'7,1.7,219,99.34,34.3,4,6,4,6,4,3,6,7,4,4,6,5
4198426420,1,38,1,3,1,,,,,,,,2,4,,1,,7,3,,5'9,1.75,245,111.13,36.18,4,4,4,3,4,4,3,5,4,4,3,4
4198427403,1,21,1,2,,,1,,,,1,,2,4,,1,,7,3,,5'5,1.65,160,72.57,26.63,4,4,5,4,5,4,3,5,3,4,4,5
4198430027,1,55,1,2,,,,1,,,,,5,3,,1,,7,2,,5'6,1.68,155,70.31,25.02,2,3,4,3,6,6,2,3,2,2,2,2
4198430973,1,30,1,4,,,,1,,,,,4,4,,1,,5,6,,5'3,1.6,108,48.99,19.13,2,2,1,1,3,1,1,2,1,2,1,1
4198432797,1,29,1,6,1,,,,,,,,3,0,black whit,1,,7,1,,5ft 10in,1.78,220,99.79,31.57,7,7,4,7,4,7,7,4,2,5,2,7
4198434076,1,19,1,3,1,,,,,,,,3,3,,1,,7,8,,5'4,1.63,120,54.43,20.6,2,2,2,3,2,4,4,4,2,4,2,3
4198434817,1,30,1,5,,,,,,,1,,4,2,,1,,7,3,,5' 0,1.52,130,58.97,25.39,3,4,3,3,2,2,3,3,2,2,2,1
4198435327,1,47,1,4,1,,,,,,,,1,1,,1,,7,5,,5'7,1.7,180,81.65,28.19,3,4,3,3,4,3,3,3,4,4,3,3
4198436381,1,50,1,4,,,,,1,,,,3,4,,1,,7,3,,5' 11'',1.8,145,65.77,20.22,2,6,1,1,1,4,4,4,5,5,3,4
4198436998,1,19,1,2,1,,,,,,,,3,1,,1,,7,1,,66,1.98,117,53.07,13.52,1,7,2,1,7,1,1,7,1,1,1,1
4198437508,1,22,1,4,,,1,,,,,,1,3,,1,,7,3,,5'3,1.6,130,58.97,23.03,6,5,3,6,6,5,5,3,7,5,4,7
4198437511,1,41,1,5,,,,1,,,,,2,4,,1,,7,5,,5'3,1.6,150,68.04,26.57,7,7,3,3,3,1,7,3,7,7,7,7
4198437564,1,60,1,3,,,,,,,,1,2,6,,1,,7,5,,5'5,1.65,128,58.06,21.3,5,5,2,1,5,4,1,4,1,1,1,4
4198438228,1,45,1,2,,,,,1,,,,3,0,White,1,,7,10,,5 1,1.55,122,55.34,23.05,3,2,3,3,2,4,4,4,4,2,2,4
4198438320,1,28,1,3,,,,,,,1,1,3,2,,1,,7,4,,5 feet 0 inches,1.52,152,68.95,29.69,1,3,2,5,2,4,6,4,4,2,2,1
